alamat,harga,kamar_tidur,bangunan,lahan,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,air_panas,telepon,tv,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak,latitude,longitude
Umbulharjo,1750000000,3,60,125,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Wirobrajan,607000000,2,55,153,1,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,-7.8026238,110.3504467
Gondokusuman,4500000000,15,495,495,5,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,-7.78674395,110.3809996
Wirobrajan,780000000,3,75,89,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,-7.8026238,110.3504467
Wirobrajan,490000444,3,62,95,1,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,-7.8026238,110.3504467
Jetis,2100000000,3,32,164,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Tegalrejo,763000000,3,75,79,2,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,-7.78045495,110.355073
Umbulharjo,2500000000,3,160,136,4,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,3200000000,5,225,221,4,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Mergangsan,3600000000,12,500,525,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Yogyakarta,1870000000,3,122,115,3,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.8011945,110.364917
Wirobrajan,2800000000,4,170,213,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Umbulharjo,1200000000,4,130,170,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,800000000,2,60,87,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Gondomanan,4000000000,7,300,413,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.80239475,110.3661123
Umbulharjo,2350000000,3,130,70,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,2700000000,4,163,162,4,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,-7.8011945,110.364917
Gondokusuman,5500000000,10,80,1145,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Umbulharjo,2500000000,10,200,300,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Wirobrajan,1500000000,3,100,110,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Umbulharjo,1550000000,3,126,128,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,2400000000,3,150,136,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Mergangsan,2300000000,1,220,393,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Kotagede,1330000000,3,93,108,2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,-7.81831055,110.3979409
Mergangsan,2500000000,6,300,400,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Umbulharjo,1700000000,10,225,225,9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,899000000,3,80,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Gondokusuman,2500000000,5,228,253,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Wirobrajan,2500000000,5,250,245,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Wirobrajan,2800000000,4,270,213,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Tegalrejo,950000000,3,80,107,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Gondokusuman,2500000000,10,350,293,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Jetis,680000000,6,135,165,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Gedong Tengen,2130500000,3,107,111,2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,-7.7892366,110.3589977
Yogyakarta,1950000000,3,158,148,2,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,-7.8011945,110.364917
Mantrijeron,760000000,3,154,77,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Yogyakarta,1450000000,5,180,240,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Mantrijeron,1400000000,3,120,63,2,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-7.81806785,110.3597226
Yogyakarta,1500000000,5,150,239,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,1100000000,3,100,158,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,-7.8011945,110.364917
Mantrijeron,1475000000,3,120,63,2,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-7.81806785,110.3597226
Yogyakarta,5700000000,17,650,465,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Danurejan,3500000000,10,250,396,8,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,-7.7928424,110.3717946
Mantrijeron,3000000000,3,140,280,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Kotagede,590000000,4,100,87,1,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,-7.81831055,110.3979409
Gondokusuman,4700000000,6,400,380,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Gondokusuman,4300000000,5,161,782,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Yogyakarta,1500000000,3,100,136,2,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,-7.8011945,110.364917
Gondokusuman,1500000000,3,136,136,2,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,Y,-7.78674395,110.3809996
Gondokusuman,11000000000,8,400,1140,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Mergangsan,700000000,2,83,83,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Mergangsan,4800000000,5,350,222,5,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,-7.8147344,110.372558
Yogyakarta,2500000000,4,400,352,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Kotagede,2200000000,4,200,172,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,-7.81831055,110.3979409
Yogyakarta,1750000000,4,200,162,3,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Gondokusuman,2600000000,4,255,245,3,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,-7.78674395,110.3809996
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Gondokusuman,1300000000,5,220,150,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Mantrijeron,3500000000,4,500,350,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Umbulharjo,1750000000,5,216,172,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,7000000000,10,530,525,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,1300000000,9,230,239,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Tegalrejo,1300000000,3,110,110,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Wirobrajan,1660200000,2,65,126,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,-7.8026238,110.3504467
Jetis,3378500000,3,135,166,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,-8.0351266,110.4908351
Mergangsan,2670000000,5,185,165,5,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,-7.8147344,110.372558
Umbulharjo,1560000000,3,124,108,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,-7.8143777,110.3873737
Umbulharjo,1960000000,4,130,129,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,-7.8143777,110.3873737
Mergangsan,2790000000,4,185,173,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,-7.8147344,110.372558
Kraton,2500000000,4,200,275,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8087986,110.3627263
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,690000000,3,60,78,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Kotagede,675000000,2,40,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Yogyakarta,1597000000,3,110,120,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Mergangsan,3000000000,5,350,440,4,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,-7.8147344,110.372558
Tegalrejo,2900000000,6,300,144,6,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,-7.78045495,110.355073
Yogyakarta,2500000000,6,210,252,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Umbulharjo,1611000000,3,74,60,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Mantrijeron,487000000,3,55,70,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,N,-7.81806785,110.3597226
Wirobrajan,598000000,3,75,70,3,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,N,-7.8026238,110.3504467
Wirobrajan,750000000,2,120,91,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Jetis,1350000000,4,80,100,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Umbulharjo,1611000000,2,74,60,2,N,N,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,-7.8143777,110.3873737
Kotagede,1750000000,4,223,165,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Umbulharjo,4400000000,7,552,528,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,1750000000,4,220,163,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Tegalrejo,950000000,3,90,107,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Mergangsan,6500000000,6,300,1137,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Tegalrejo,2500000000,3,150,280,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,-7.78045495,110.355073
Mergangsan,2000000000,3,100,180,4,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8147344,110.372558
Umbulharjo,1750000000,3,74,60,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Gondokusuman,3250000000,5,207,140,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Kraton,1900000000,4,190,158,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8087986,110.3627263
Mantrijeron,680000000,3,70,119,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,-7.81806785,110.3597226
Yogyakarta,5100000000,5,500,368,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Wirobrajan,750000000,5,158,92,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Mergangsan,2550000000,5,185,173,5,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,-7.8147344,110.372558
Wirobrajan,2970000000,5,232,143,2,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,-7.8026238,110.3504467
Ngampilan,4500000000,5,225,186,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.80218335,110.3576025
Kotagede,675000000,2,45,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,-7.81831055,110.3979409
Kotagede,790000000,2,50,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81831055,110.3979409
Tegalrejo,5600000000,5,350,395,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Umbulharjo,4000000000,13,540,423,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,1500000000,6,132,161,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,1780000000,3,210,160,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Umbulharjo,6200000000,5,300,350,3,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,-7.8143777,110.3873737
Mantrijeron,283000000,2,36,70,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,-7.81806785,110.3597226
Yogyakarta,5500000000,11,308,251,11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
