alamat,harga,kamar_tidur,bangunan,lahan,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,air_panas,telepon,tv,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak
Mantrijeron,1671790000,3,70,93,1,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y
Mantrijeron,885000000,3,57,125,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,850000000,2,40,66,2,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,3114900000,3,135,166,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N
Wirobrajan,1248600000,2,65,93,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N
Wirobrajan,2970000000,5,232,143,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,8000000000,21,500,893,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,7200000000,32,343,695,7,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,450191919,3,59,84,1,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y
Pakualaman,4500000000,4,235,354,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondomanan,3877000000,3,142,204,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N
Umbulharjo,675000000,3,90,114,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,485000000,3,60,180,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Wirobrajan,1666800000,2,65,134,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N
Mantrijeron,2756000000,4,120,148,3,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
Gondokusuman,2800000000,4,199,212,3,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N
Mergangsan,3877000000,3,142,204,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N
Umbulharjo,1340000000,3,93,108,3,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y
Gedong Tengen,1800000000,2,62,86,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,1150000000,3,90,136,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,425000000,2,45,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1850000000,4,175,125,2,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,752000000,2,47,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,3700000000,3,402,173,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,1585200000,2,65,126,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N
Gondokusuman,6500000000,4,200,286,4,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N
Tegalrejo,1400000000,5,120,120,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N
Gondokusuman,4100000000,5,900,677,5,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N
Gondokusuman,24000000000,8,450,842,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N
Umbulharjo,1750000000,5,216,172,3,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
Tegalrejo,1100000000,4,150,230,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
Jetis,4900000000,5,350,224,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,550000000,3,64,98,2,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Umbulharjo,3000000000,6,300,440,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1190000000,3,140,144,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Kotagede,1330000000,3,93,108,2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y
Mergangsan,2200000000,2,112,123,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,7800000000,11,300,1152,11,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N
Wirobrajan,600000000,2,80,134,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2200000000,5,280,228,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Pakualaman,4800000000,4,250,547,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ngampilan,560000000,5,140,70,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
Yogyakarta,2685000000,3,135,331,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Yogyakarta,900000000,3,86,96,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,6000000000,7,540,405,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1750000000,3,60,125,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,607000000,2,55,153,1,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y
Gondokusuman,4500000000,15,495,495,5,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
Wirobrajan,780000000,3,75,89,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y
Wirobrajan,490000444,3,62,95,1,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y
Jetis,2100000000,3,32,164,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,763000000,3,75,79,2,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y
Umbulharjo,2500000000,3,160,136,4,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N
Yogyakarta,3200000000,5,225,221,4,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Mergangsan,3600000000,12,500,525,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Yogyakarta,1870000000,3,122,115,3,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Wirobrajan,2800000000,4,170,213,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1200000000,4,130,170,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,800000000,2,60,87,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondomanan,4000000000,7,300,413,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2350000000,3,130,70,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,2700000000,4,163,162,4,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y
Gondokusuman,5500000000,10,80,1145,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2500000000,10,200,300,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,1500000000,3,100,110,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1550000000,3,126,128,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2400000000,3,150,136,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,2300000000,1,220,393,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,1330000000,3,93,108,2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
Mergangsan,2500000000,6,300,400,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1700000000,10,225,225,9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,899000000,3,80,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,2500000000,5,228,253,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,2500000000,5,250,245,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,2800000000,4,270,213,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,950000000,3,80,107,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,2500000000,10,350,293,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Jetis,680000000,6,135,165,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gedong Tengen,2130500000,3,107,111,2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N
Yogyakarta,1950000000,3,158,148,2,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N
Mantrijeron,760000000,3,154,77,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1450000000,5,180,240,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,1400000000,3,120,63,2,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Yogyakarta,1500000000,5,150,239,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1100000000,3,100,158,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N
Mantrijeron,1475000000,3,120,63,2,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Yogyakarta,5700000000,17,650,465,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Danurejan,3500000000,10,250,396,8,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N
Mantrijeron,3000000000,3,140,280,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,590000000,4,100,87,1,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y
Gondokusuman,4700000000,6,400,380,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,4300000000,5,161,782,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1500000000,3,100,136,2,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y
Gondokusuman,1500000000,3,136,136,2,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,Y
Gondokusuman,11000000000,8,400,1140,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,700000000,2,83,83,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,4800000000,5,350,222,5,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
Yogyakarta,2500000000,4,400,352,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,2200000000,4,200,172,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N
Yogyakarta,1750000000,4,200,162,3,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Gondokusuman,2600000000,4,255,245,3,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,Y
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Gondokusuman,1300000000,5,220,150,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,3500000000,4,500,350,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1750000000,5,216,172,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,7000000000,10,530,525,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1300000000,9,230,239,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,1300000000,3,110,110,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,1660200000,2,65,126,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y
Jetis,3378500000,3,135,166,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N
Mergangsan,2670000000,5,185,165,5,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
Umbulharjo,1560000000,3,124,108,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y
Umbulharjo,1960000000,4,130,129,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
Mergangsan,2790000000,4,185,173,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
Kraton,2500000000,4,200,275,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,450000000,8,100,111,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,3,60,78,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Kotagede,675000000,2,40,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Yogyakarta,1597000000,3,110,120,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Mergangsan,3000000000,5,350,440,4,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N
Tegalrejo,2900000000,6,300,144,6,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N
Yogyakarta,2500000000,6,210,252,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1611000000,3,74,60,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,487000000,3,55,70,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,N
Wirobrajan,598000000,3,75,70,3,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,N
Wirobrajan,750000000,2,120,91,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Jetis,1350000000,4,80,100,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1611000000,2,74,60,2,N,N,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N
Kotagede,1750000000,4,223,165,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,4400000000,7,552,528,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1750000000,4,220,163,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,950000000,3,90,107,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,6500000000,6,300,1137,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,2500000000,3,150,280,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
Mergangsan,2000000000,3,100,180,4,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
Umbulharjo,1750000000,3,74,60,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,3250000000,5,207,140,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,1900000000,4,190,158,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Mantrijeron,680000000,3,70,119,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N
Yogyakarta,5100000000,5,500,368,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,750000000,5,158,92,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,2550000000,5,185,173,5,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y
Wirobrajan,2970000000,5,232,143,2,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N
Ngampilan,4500000000,5,225,186,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,675000000,2,45,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Kotagede,790000000,2,50,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Kotagede,690000000,2,40,111,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Tegalrejo,5600000000,5,350,395,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,4000000000,13,540,423,8,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1500000000,6,132,161,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,1780000000,3,210,160,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,6200000000,5,300,350,3,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N
Mantrijeron,283000000,2,36,70,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N
Yogyakarta,5500000000,11,308,251,11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,2700000000,4,250,420,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,1700000000,3,105,223,1,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,1300000000,5,172,118,3,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,3400000000,6,417,270,5,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N
Yogyakarta,15000000000,6,450,636,7,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N
Jetis,1200000000,5,160,87,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,3800000000,4,220,298,4,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Ngampilan,750000000,3,90,93,1,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N
Yogyakarta,495000000,2,45,94,1,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N
Umbulharjo,10500000000,8,718,1140,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Jetis,1700000000,5,149,149,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Jetis,650000000,2,125,138,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,400000000,2,40,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mergangsan,13500000000,14,1000,2455,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Yogyakarta,2700000000,6,339,339,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,4500000000,4,235,354,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,3500000000,8,300,165,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Kotagede,690000000,3,60,79,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Kotagede,690000000,3,60,60,1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N
Umbulharjo,4500000000,10,264,792,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,3000000000,4,170,213,4,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
Tegalrejo,2600000000,5,150,150,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1500000000,5,180,90,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,3950000000,6,196,393,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,4799000000,13,400,681,5,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N
Wirobrajan,2032000000,4,150,120,4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y
Yogyakarta,900000000,3,55,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,2500000000,3,90,313,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,4400000000,7,553,528,5,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tegalrejo,2600000000,5,150,150,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,2500000000,3,150,136,4,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
Umbulharjo,850000000,3,84,145,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1700000000,3,100,224,1,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Kraton,3000000000,5,200,337,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
